,Time,Source,Destination,Protocol,Length,Info
0,413.852895,10.128.0.1,192.168.1.9,TCP,74,46680  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1441947135 TSecr=0 WS=128
1,413.852954,10.128.0.1,192.168.1.9,TCP,54,46680  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0
2,413.865351,10.128.0.1,192.168.1.9,TCP,75,"46680  >  80 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=21 [TCP segment of a reassembled PDU]"
3,414.065956,10.128.0.1,192.168.1.9,TCP,232,"46680  >  80 [PSH, ACK] Seq=22 Ack=1 Win=29312 Len=178 [TCP segment of a reassembled PDU]"
4,414.069919,10.128.0.1,192.168.1.9,TCP,75,"[TCP Retransmission] 46680  >  80 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=21"
5,428.881211,10.128.0.1,192.168.1.9,TCP,63,"46680  >  80 [PSH, ACK] Seq=200 Ack=1 Win=29312 Len=9 [TCP segment of a reassembled PDU]"
6,443.896526,10.128.0.1,192.168.1.9,TCP,65,"46680  >  80 [PSH, ACK] Seq=209 Ack=1 Win=29312 Len=11 [TCP segment of a reassembled PDU]"
7,458.911837,10.128.0.1,192.168.1.9,TCP,65,"46680  >  80 [PSH, ACK] Seq=220 Ack=1 Win=29312 Len=11 [TCP segment of a reassembled PDU]"
8,473.927147,10.128.0.1,192.168.1.9,TCP,65,"46680  >  80 [PSH, ACK] Seq=231 Ack=1 Win=29312 Len=11 [TCP segment of a reassembled PDU]"
23,413.768388,10.128.0.10,192.168.1.9,TCP,74,55689  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1441947114 TSecr=0 WS=128
24,413.76845,10.128.0.10,192.168.1.9,TCP,54,55689  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0
25,413.778009,10.128.0.10,192.168.1.9,TCP,74,"55689  >  80 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=20 [TCP segment of a reassembled PDU]"
26,413.77807,10.128.0.10,192.168.1.9,TCP,222,"55689  >  80 [PSH, ACK] Seq=21 Ack=1 Win=29312 Len=168 [TCP segment of a reassembled PDU]"
27,413.778393,10.128.0.10,192.168.1.9,TCP,65,"55689  >  80 [PSH, ACK] Seq=189 Ack=1 Win=29312 Len=11 [TCP segment of a reassembled PDU]"
33,-3790.103625,10.128.0.10,192.168.1.9,TCP,65,"55689  >  80 [PSH, ACK] Seq=254 Ack=1 Win=29312 Len=11 [TCP segment of a reassembled PDU]"
46,413.740395,10.128.0.100,192.168.1.9,TCP,74,55118  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1441947107 TSecr=0 WS=128
47,413.74041,10.128.0.100,192.168.1.9,TCP,74,51374  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1441947107 TSecr=0 WS=128
48,413.740553,10.128.0.100,192.168.1.9,TCP,54,55118  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0
49,413.740568,10.128.0.100,192.168.1.9,TCP,54,51374  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0
50,413.741949,10.128.0.100,192.168.1.9,HTTP,358,GET /bcrypt.php HTTP/1.1 
51,413.741962,10.128.0.100,192.168.1.9,TCP,518,"51374  >  80 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=464 [TCP segment of a reassembled PDU]"
52,413.896777,10.128.0.100,192.168.1.9,TCP,74,51455  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1441947146 TSecr=0 WS=128
53,414.893964,10.128.0.100,192.168.1.9,TCP,74,[TCP Retransmission] 51455  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1441947396 TSecr=0 WS=128
54,416.89795,10.128.0.100,192.168.1.9,TCP,74,[TCP Retransmission] 51455  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1441947897 TSecr=0 WS=128
55,416.898028,10.128.0.100,192.168.1.9,TCP,54,51455  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0
